symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
FDAX,Mon,14:00,14,TM_10,40,-300.0,-7.5,1242.8797206487843,25,62.5
FDAX,Mon,15:00,15,IPS_TM_3,14,3075.0,219.64285714285714,932.5409132821223,12,85.71428571428571
FDAX,Mon,16:00,16,IPS_TM_3,10,2675.0,267.5,930.1321590684485,8,80.0
FDAX,Mon,19:00,19,TM_10,32,-1025.0,-32.03125,1066.9755713978072,22,68.75
FDAX,Mon,20:00,20,IPS_TM_6,22,7200.0,327.27272727272725,2523.9791558609945,16,72.72727272727273
FDAX,Mon,21:00,21,IPS_TM_10,14,22250.0,1589.2857142857142,724.3507892824207,14,100.0
FDAX,Mon,22:00,22,TM_10,27,-1300.0,-48.148148148148145,1823.9186196357914,17,62.96296296296296
FDAX,Mon,23:00,23,IPS_TM_10,10,-3375.0,-337.5,2298.5880327810905,8,80.0
FDAX,Sun,19:00,19,TS_2,10,4775.0,477.5,2048.286885830856,9,90.0
FDAX,Sun,20:00,20,TM_7,39,-9600.0,-246.15384615384616,2726.185995300332,25,64.1025641025641
FDAX,Sun,21:00,21,IPS_TM_10,14,18650.0,1332.142857142857,3674.4888259277823,12,85.71428571428571
FDAX,Sun,22:00,22,IPSTMUD1,16,-4075.0,-254.6875,702.98285600243,9,56.25
FDAX,Sun,23:00,23,TM_10,13,-5200.0,-400.0,1134.2673847025665,6,46.15384615384615
FDAX,Thu,00:00,0,TM_10,34,8200.0,241.1764705882353,746.5801412496704,26,76.47058823529412
FDAX,Thu,01:00,1,IPS_TM_8,46,-7100.0,-154.34782608695653,1377.1478613003246,31,67.3913043478261
FDAX,Thu,02:00,2,TM_7,22,30400.0,1381.8181818181818,2889.5561306253653,18,81.81818181818183
FDAX,Thu,03:00,3,TS_2,31,6575.0,212.09677419354838,2231.9635504018834,23,74.19354838709677
FDAX,Thu,04:00,4,IPSTMUD1,24,4200.0,175.0,972.1390578647106,16,66.66666666666666
FDAX,Thu,05:00,5,IPSTMUD1,42,19900.0,473.8095238095238,2323.428871072122,29,69.04761904761905
FDAX,Thu,06:00,6,IPSPB1,22,11025.0,501.1363636363636,1345.5720431759214,17,77.27272727272727
FDAX,Thu,07:00,7,IPS_TM_13,21,15550.0,740.4761904761905,1154.2713120860112,18,85.71428571428571
FDAX,Thu,08:00,8,IPS_TM_3,62,10700.0,172.58064516129033,1299.3354991269116,50,80.64516129032258
FDAX,Thu,09:00,9,IPSPB1,18,7450.0,413.8888888888889,1322.9374129915634,13,72.22222222222221
FDAX,Thu,10:00,10,TS_2,54,18450.0,341.6666666666667,1558.308529046194,44,81.48148148148148
FDAX,Thu,11:00,11,TS_2,43,36175.0,841.2790697674419,2466.706183649819,33,76.74418604651163
FDAX,Thu,12:00,12,TM_3,43,5100.0,118.6046511627907,1553.644841126441,31,72.09302325581395
FDAX,Thu,13:00,13,IPSPB1,12,20825.0,1735.4166666666667,2889.979913687144,10,83.33333333333334
FDAX,Thu,14:00,14,IPS_TM_12,12,13550.0,1129.1666666666667,1415.2109276348065,11,91.66666666666666
FDAX,Thu,15:00,15,IPS_TM_6,12,11150.0,929.1666666666666,2028.4855897636512,8,66.66666666666666
FDAX,Thu,16:00,16,IPS_TM_8,37,0.0,0.0,1494.5386690659207,19,51.35135135135135
